transaction_id,transaction_amount,hour_of_day,prev_transactions,distance_from_home,is_first_transaction
T000001,161.36369110406315,3.0,2.0,26.53974176549527,0.0
T000002,116.20285141107804,1.0,2.0,50.71440221451397,0.0
T000003,1.0,2.0,,9.46793520346699,0.0
T000004,48.78061793328551,2.0,,41.07706831607596,0.0
T000005,,3.0,8.0,,0.0
T000006,,1.0,2.0,43.371890893514646,1.0
T000007,74.69054694573319,3.0,5.0,16.764099056370686,0.0
T000008,17.930994219895155,1.0,3.0,2.022411242186052,0.0
T000009,74.37056015107456,3.0,1.0,64.70726548768356,0.0
T000010,177.0161989909943,2.0,3.0,31.28494138061624,0.0
T000011,46.884814313694754,2.0,0.0,,0.0
T000012,95.88731501642734,3.0,11.0,0.451994996784427,0.0
T000013,118.19853154263691,3.0,15.0,18.02807275395225,0.0
T000014,110.3633664699472,2.0,0.0,22.99223058982801,0.0
T000015,142.83687107352293,3.0,9.0,19.604308947068876,0.0
T000016,118.38099201048554,1.0,1.0,45.99129557988964,0.0
T000017,153.57579677905193,3.0,0.0,,0.0
T000018,134.01080527252248,3.0,0.0,27.707540201799315,0.0
T000019,80.41757162891045,3.0,3.0,1.4811048597689047,0.0
T000020,95.19700501376752,2.0,1.0,19.53617103925664,0.0
T000021,26.66074046921615,2.0,0.0,2.3194591316771818,0.0
T000022,1.0,2.0,2.0,57.40168957514824,0.0
T000023,24.276484540961647,2.0,2.0,46.61335138152417,0.0
T000024,78.96773386173204,2.0,0.0,,0.0
T000025,,3.0,8.0,,0.0
T000026,185.5854240071172,1.0,3.0,,0.0
T000027,74.43921617844074,2.0,2.0,13.350091979748765,0.0
T000028,95.62823356114096,2.0,7.0,58.04260448582046,0.0
T000029,75.31217084193437,1.0,,19.6445490987848,0.0
T000030,55.94658316693539,2.0,17.0,21.18417029642036,0.0
T000031,141.94702502348062,1.0,7.0,63.0969525993706,0.0
T000032,203.77003993227197,2.0,2.0,6.27282589424209,0.0
T000033,137.78329193721572,2.0,1.0,14.38144131351065,0.0
T000034,103.90588676180082,2.0,7.0,3.4923079222897604,0.0
T000035,22.63480055308172,3.0,,1.4897527870970344,0.0
T000036,118.24805012331127,3.0,3.0,2.402821152462609,1.0
T000037,129.29521005823244,3.0,2.0,,0.0
T000038,111.53504528593416,2.0,14.0,0.2244672843870939,0.0
T000039,193.9937274710504,3.0,5.0,10.410098351832398,0.0
T000040,122.83440053651996,2.0,,10.682361314174631,0.0
T000041,73.31998467804166,2.0,3.0,20.68180355777227,0.0
T000042,125.39956634562718,2.0,2.0,4.064625342077939,0.0
T000043,83.27493820795257,2.0,0.0,5.1786359542963565,0.0
T000044,62.40153341305905,2.0,1.0,43.09672416199805,0.0
T000045,25.850778400879094,2.0,3.0,,0.0
T000046,122.67543562772336,1.0,8.0,71.26777944360984,0.0
T000047,44.88539250817883,3.0,2.0,10.443014609109987,0.0
T000048,73.05790719036308,2.0,4.0,0.7848542960362092,0.0
T000049,102.04623743644616,2.0,2.0,2.5595541529985297,0.0
T000050,172.67670385786585,3.0,6.0,8.328690281307473,1.0
T000051,75.85080369635796,1.0,2.0,12.513437648535945,0.0
T000052,2.0164938060112263,,,3.8577216400851744,0.0
T000053,125.27946209179372,2.0,1.0,0.9655841003124572,0.0
T000054,140.53993227958549,3.0,2.0,,0.0
T000055,,2.0,0.0,31.15170394508273,0.0
T000056,73.7060162052398,3.0,11.0,81.0476186617271,0.0
T000057,124.01302507029624,2.0,0.0,30.92089280622724,0.0
T000058,112.4110293150168,1.0,22.0,9.29349450070232,1.0
T000059,124.54874758191256,1.0,1.0,5.005737451303021,0.0
T000060,98.78227038695086,1.0,3.0,41.9691043878471,0.0
T000061,1.0,1.0,4.0,18.487403270471145,0.0
T000062,115.08500044508678,2.0,6.0,5.692249483992266,0.0
T000063,149.813340972357,3.0,0.0,4.94943726401951,0.0
T000064,115.55549955715976,2.0,,7.592580381927472,0.0
